ptp,rt,response,time_elapsed
sub_001,4310.5,,4324
sub_001,2362.899999999441,,2371
sub_001,3207.0999999996275,,3214
sub_001,3856.600000000559,,3862
sub_001,2295.2000000001863,,2305
sub_001,9120.300000000745,,9126
sub_001,2093.2999999998137,,2101
sub_001,93971.29999999981,,93978
sub_001,26031,,26041
sub_002,13726.899999999907,,13731
sub_002,3681.3000000000466,,3684
sub_002,2249.5999999998603,,2252
sub_002,1328.6999999999534,,1331
sub_002,2203.4000000001397,,2206
sub_002,29971.399999999907,,29974
sub_002,1224.8999999999069,,1227
sub_002,1022.2000000001863,,1024
sub_002,2335.399999999907,,2337
sub_003,3727.5,,3735
sub_003,5171,,5175
sub_003,1898.7000000178814,,1902
sub_003,1456.4000000059605,,1461
sub_003,139232.29999998212,,139237
sub_003,134616.39999997616,,134621
sub_003,1367,,1370
sub_003,55770,,55774
sub_003,386765.90000000596,,386771
sub_004,5887.599999904633,,5898
sub_004,3785.399999856949,,3791
sub_004,1452.6999998092651,,1458
sub_004,1473.5,,1478
sub_004,1572.7000000476837,,1577
sub_004,44199.5,,44207
sub_004,7875.5,,7882
sub_004,586.7000000476837,,592
sub_004,2452.9000000953674,,2458
sub_005,19850.19999998808,,19855
sub_005,5409.899999976158,,5412
sub_005,4073.2000000476837,,4076
sub_005,3797.300000011921,,3800
sub_005,2196.300000011921,,2199
sub_005,6628.199999988079,,6631
sub_005,2437.300000011921,,2440
sub_005,1884.9000000357628,,1888
sub_005,2657.699999988079,,2660
sub_006,10606.299999952316,,10612
sub_006,9018.800000071526,,9021
sub_006,2842.5999999046326,,2846
sub_006,3602.100000023842,,3605
sub_006,3261.600000023842,,3265
sub_006,25828,,25831
sub_006,2432.399999976158,,2435
sub_006,5725.899999976158,,5729
sub_006,2846.5999999046326,,2849
sub_007,6001.5,,6021
sub_007,2836.4000000953674,,2846
sub_007,2492.9000000953674,,2500
sub_007,1441.8999998569489,,1449
sub_007,3320.399999856949,,3328
sub_007,1472.7000000476837,,1482
sub_007,385959,,385983
sub_007,1464.0999999046326,,1474
sub_007,2289.2999999523163,,2299
sub_008,18032,,18039
sub_008,3104,,3111
sub_008,2802.3999999910593,,2808
sub_008,2629.4000000059605,,2636
sub_008,3557.2000000029802,,3564
sub_008,3286.2000000029802,,3293
sub_008,2386.2000000029802,,2392
sub_008,2434.7999999970198,,2441
sub_008,9889.20000000298,,9896
sub_009,375172.1000000001,I saw the entire board and received feedback. I think the board could be bigger as it's very difficult to spot and find the pictures!,375213
sub_009,7798.90000000014,No issues!,7810
sub_009,7733.09999999986,No issues!,7746
sub_009,5201.199999999953,,5212
sub_009,3142,,3153
sub_009,3118.5,,3129
sub_009,2801.7999999998137,,2840
sub_009,2825,,2862
sub_009,2983.2999999998137,,2995
sub_010,8606.400000000373,,8610
sub_010,2785.600000000559,,2787
sub_010,1712.9000000003725,,1715
sub_010,2145.5,,2147
sub_010,1992.3999999985099,,1993
sub_010,2452,,2454
sub_010,2327.10000000149,,2329
sub_010,1965.3999999985099,,1967
sub_010,4133.199999999255,,4135
sub_011,7178.800000190735,,7196
sub_011,2159.8999996185303,,2167
sub_011,1650.8999996185303,,1658
sub_011,76979.10000038147,,76986
sub_011,1547.1999998092651,,1556
sub_011,1537.7999992370605,,1547
sub_011,1683.8000001907349,,1692
sub_011,2870.6000003814697,,2879
sub_011,9205.300000190735,,9214
sub_012,2960.5,,2964
sub_012,18376.69999998808,I didn't see the full board with hidden items,18379
sub_012,10282.599999964237,I didn't see a board with the missing items,10285
sub_012,1314.6000000238419,,1316
sub_012,1533.800000011921,,1539
sub_012,2710.900000035763,,2715
sub_012,2130.100000023842,,2132
sub_012,1084.3999999761581,,1087
sub_012,1299.699999988079,,1303
sub_013,35675.39999999851,it told me when i was correct or incorrect. I could see the entire boar. Experiencd no problems,35680
sub_013,12455.800000000745,,12458
sub_013,18148.89999999851,when only a cm away it said wrong. Seems harsh lol,18152
sub_013,30840.599999997765,i think you should not show correct or incorrect. It annoyed me when i was basically right but wrong lol,30842
sub_013,1546.9000000022352,,1550
sub_013,1329.800000000745,,1332
sub_013,1656.800000000745,,1660
sub_013,1135,,1138
sub_013,784.1000000014901,,787
sub_014,18960.80000001192,had difficulty in seeing the feedback ,18969
sub_014,4419,,4425
sub_014,1739.800000011921,,1744
sub_014,1743.199999988079,,1748
sub_014,2305.899999976158,,2310
sub_014,1990.2000000476837,,1995
sub_014,1328.1000000238419,,1332
sub_014,1720.5,,1726
sub_014,46017.09999996424,i had an issue with the screen hanging often in this block. mouse clicked on the object but it showed error,46022
sub_015,5484.199999999255,,5497
sub_015,2747.699999999255,,2759
sub_015,1290.3999999985099,,1299
sub_015,1311.6000000014901,,1321
sub_015,1421.800000000745,,1430
sub_015,6827.400000002235,,6838
sub_015,1564.5,,1574
sub_015,1428.2000000029802,,1438
sub_015,1454.3999999985099,,1463
sub_016,5478.899999976158,,5486
sub_016,3015.100000023842,,3019
sub_016,1250.7999999523163,,1255
sub_016,1095.5,,1099
sub_016,865,,870
sub_016,22617,,22622
sub_016,1109.8999999761581,,1114
sub_016,437,,451
sub_016,677,,680
sub_017,9541.59999999404,,9549
sub_017,2133.4000000059605,,2140
sub_017,1393,,1399
sub_017,1140.5999999940395,,1151
sub_017,2301,,2312
sub_017,1139.5,,1152
sub_017,1643.4000000059605,,1655
sub_017,1518.2000000178814,,1532
sub_017,1615.7999999821186,,1639
sub_018,4306.70000000298,,4320
sub_018,2513.9000000059605,,2523
sub_018,1476,,1484
sub_018,1345.0999999940395,,1355
sub_018,1438.7000000029802,,1447
sub_018,1467.7999999970198,,1477
sub_018,1460.5999999940395,,1470
sub_018,1262.3999999910593,,1271
sub_018,1157.8999999910593,,1170
sub_019,3906.899999856949,,3915
sub_019,2012.2999999523163,,2018
sub_019,1480.4000000953674,,1485
sub_019,315198.40000009537,,315200
sub_019,1360.2000000476837,,1365
sub_019,56954.199999809265,,56962
sub_019,1404.6000001430511,,1412
sub_019,866.0999999046326,,872
sub_019,1118.8000001907349,,1125
sub_020,6289.300000000047,,6296
sub_020,2195.600000000093,,2198
sub_020,2367.5,,2370
sub_020,38938,,38946
sub_020,70678.3999999999,,70680
sub_020,36455.5,,36460
sub_020,1150.8000000002794,,1156
sub_020,1837.7999999998137,,1842
sub_021,8489,,8494
sub_021,3961.2999999523163,,3964
sub_021,4882.800000190735,,4885
sub_021,2236.5,,2239
sub_021,2014.4000000953674,,2017
sub_021,2225.5999999046326,,2229
sub_021,2009.2999999523163,,2012
sub_021,1710.2999999523163,,1713
sub_021,2445.2999999523163,,2448
sub_022,23078.79999999702,,23085
sub_022,8187.29999999702,,8191
sub_022,5248.70000000298,,5253
sub_022,1954.8999999910593,,1957
sub_022,1464.6000000089407,,1468
sub_022,51703.40000000596,,51708
sub_022,1084.2999999970198,,1087
sub_022,1006.4000000059605,,1009
sub_022,1278.6000000089407,,1282
sub_023,4558.599999904633,,4562
sub_023,4061.199999809265,,4064
sub_023,1301.9000000953674,,1308
sub_023,1249.9000000953674,,1253
sub_023,1724.1999998092651,,1725
sub_023,1527.6000003814697,,1530
sub_023,1812.5999999046326,,1814
sub_023,1742.6999998092651,,1744
sub_023,1696.0999999046326,,1698
