"ptp","break_idx","time_spent_msec","time_spent_mins"
"sub_001",1,75234.5,1.25390833333333
"sub_001",2,58255.2999999989,0.970921666666648
"sub_001",3,114457.999999999,1.90763333333332
"sub_001",4,378128.8,6.30214666666666
"sub_001",5,36088.6000000006,0.601476666666676
"sub_001",6,21309.7000000002,0.35516166666667
"sub_001",7,52958.9999999991,0.882649999999984
"sub_001",8,96309.5,1.60515833333333
"sub_001",9,27775.1000000006,0.462918333333343
"sub_002",1,146508.7,2.44181166666667
"sub_002",2,82755.5,1.37925833333333
"sub_002",3,68993.2999999998,1.14988833333333
"sub_002",4,110199.9,1.836665
"sub_002",5,85286.3000000005,1.42143833333334
"sub_002",6,127084.5,2.118075
"sub_002",7,88362.6999999997,1.47271166666666
"sub_002",8,106704.9,1.77841500000001
"sub_002",9,4561.89999999991,0.0760316666666651
"sub_003",1,129381.699999988,2.15636166666647
"sub_003",2,25981.900000006,0.433031666666766
"sub_003",3,89999.6000000238,1.49999333333373
"sub_003",4,288555,4.80925
"sub_003",5,248232.299999982,4.1372049999997
"sub_003",6,225200.799999982,3.75334666666637
"sub_003",7,350938.599999994,5.84897666666657
"sub_003",8,393934.5,6.565575
"sub_003",9,389090.900000006,6.48484833333343
"sub_004",1,155469.599999905,2.59115999999841
"sub_004",2,50464.2999997139,0.841071666661898
"sub_004",3,159379.199999809,2.65631999999682
"sub_004",4,3400.5,0.056675
"sub_004",5,124867.799999952,2.08112999999921
"sub_004",6,45428,0.757133333333333
"sub_004",7,115929.5,1.93215833333333
"sub_004",8,3228,0.0538
"sub_004",9,4956.29999995232,0.0826049999992053
"sub_005",1,289449.699999988,4.82416166666647
"sub_005",2,21803.3000000119,0.363388333333532
"sub_005",3,197302.100000024,3.28836833333373
"sub_005",4,8491,0.141516666666667
"sub_005",5,111466.600000024,1.85777666666706
"sub_005",6,9983.60000002384,0.166393333333731
"sub_005",7,72208.3000000119,1.20347166666687
"sub_005",8,4042.20000004768,0.0673700000007947
"sub_005",9,5000.30000001192,0.083338333333532
"sub_006",1,81441.3999998569,1.35735666666428
"sub_006",2,19526.3999999762,0.325439999999603
"sub_006",3,56251.1999999285,0.937519999998808
"sub_006",4,9779.60000002384,0.162993333333731
"sub_006",5,80764.7000000477,1.34607833333413
"sub_006",6,36767.8999999762,0.612798333332936
"sub_006",7,77928.1000000238,1.29880166666706
"sub_006",8,53884.6000000238,0.898076666667064
"sub_006",9,6432,0.1072
"sub_007",1,110257.900000095,1.83763166666826
"sub_007",2,113451.100000143,1.89085166666905
"sub_007",3,86451.4000000954,1.44085666666826
"sub_007",4,3679.39999985695,0.0613233333309492
"sub_007",5,321934.699999809,5.36557833333015
"sub_007",6,21068.9000000954,0.351148333334923
"sub_007",7,427041.799999952,7.11736333333254
"sub_007",8,2962.09999990463,0.0493683333317439
"sub_007",9,4241,0.0706833333333333
"sub_008",1,234261.600000009,3.90436000000015
"sub_008",2,12025.5,0.200425
"sub_008",3,109248,1.8208
"sub_008",4,4736.70000000298,0.0789450000000497
"sub_008",5,146212.800000012,2.4368800000002
"sub_008",6,5911.80000001192,0.0985300000001987
"sub_008",7,69121.900000006,1.15203166666677
"sub_008",8,4614.79999999702,0.0769133333332837
"sub_008",9,12377.6000000089,0.206293333333482
"sub_009",1,434470.9,7.24118166666667
"sub_009",2,23816.3,0.396938333333334
"sub_009",3,63268.8999999999,1.05448166666667
"sub_009",4,11655.2,0.194253333333333
"sub_009",5,44253.2000000002,0.737553333333336
