ptp,condition,hidden_pa_img_type,counterbalancing,block_2_mouse_error_mean,block_2_mouse_error_sd,block_2_rt_mean,block_2_rt_sd,rep_2_3_4_mouse_error_mean,rep_2_3_4_mouse_error_sd,rep_2_3_4_mouse_rt_mean,rep_2_3_4_mouse_rt_sd,rep_1_mouse_error_mean,rep_2_mouse_error_mean,rep_1_to_2_diff,block_2_mouse_error_mean_LOG,fminsearch_two_param_1,fminsearch_two_param_2,fminsearch_two_param_fval,fminsearch_two_param_exitflag,fminsearch_two_param_message,fminsearch_three_param_1,fminsearch_three_param_2,fminsearch_three_param_3,fminsearch_three_param_fval,fminsearch_three_param_exitflag,fminsearch_three_param_message,warnMsg,warnId,sse_two_param,intercept_two_param,learning_rate_two_param,logLik_two_param,AIC_two_param,BIC_two_param,sse_three_param,intercept_three_param,learning_rate_three_param,asymptote_three_param,logLik_three_param,AIC_three_param,BIC_three_param,border_dist_closest,no_data_first_rep,Q1_two_param,Q3_two_param,IQR_two_param,lower_boundary_two_param,upper_boundary_two_param,outside_iqr_two_param,Q1_three_param,Q3_three_param,IQR_three_param,lower_boundary_three_param,upper_boundary_three_param,outside_iqr_three_param,group_average_data_two_param,group_average_data_three_param,learning_rate_two_param_no_outlier,learning_rate_three_param_no_outlier,learning_rate_two_param_no_outlier_G,learning_rate_two_param_G,learning_rate_three_param_no_outlier_G,learning_rate_three_param_G
sub_001,schema_2_2,all_pa,cb3,69.43975473459976,106.84009530650015,954.1409090908921,402.8300299241106,105.27258592892812,98.15998939992527,1115.847058823387,474.6528061614809,155.2949970681517,148.79571208766762,6.499284980484077,4.240459538298042,156.746188152916,0.158427169421673,3956.04192156311,1,NA,156.74905572375,0.158436128236584,156.749055721967,3956.04194832922,1,NA,Iteration limit exceeded.  Returning results from final iteration.,stats:nlinfit:IterationLimitExceeded,3956.04192156096,156.746191689596,0.158427221662092,-36.1657392574909,76.3314785149818,76.4903615983415,3956.04194832923,156.74905572375,0.158436128236584,1.78278014573152e-9,-36.1657392845566,78.3314785691132,78.5698031941528,all,FALSE,0.14823573363375675,0.37603181255829726,0.2277960789245405,-0.193458384753054,0.7177259309451081,FALSE,0.228987471511786,1.126741104061875,0.8977536325500891,-1.1176429773133476,2.473371552887009,FALSE,0.29727286951661197,0.6195844236750546,0.158427221662092,0.158436128236584,0.15330286928505704,0.1449412884140176,0.027017361033684184,-0.25469515369186047
sub_001,schema_2_2,far,cb3,26.8454319763672,20.70080689327921,816.8750000001164,130.16714255148202,87.62440866500924,51.82073534389751,1224.3666666665424,563.4221744541228,142.8008737221857,125.35565512617308,17.445218596012637,3.2900956752469175,146.213096907229,0.299992276073209,3023.13367081838,1,NA,146.272433350038,0.30156185343525,145.931014426704,3023.102366361,1,NA,Iteration limit exceeded.  Returning results from final iteration.,stats:nlinfit:IterationLimitExceeded,3023.13367081602,146.213135048733,0.2999923942133,-35.0899389458636,74.1798778917271,74.3387609750868,3023.102366361,146.272433350038,0.30156185343525,0.34141892333389,-35.0898975257737,76.1797950515474,76.4181196765869,all,FALSE,0.14823573363375675,0.37603181255829726,0.2277960789245405,-0.193458384753054,0.7177259309451081,FALSE,0.228987471511786,1.126741104061875,0.8977536325500891,-1.1176429773133476,2.473371552887009,FALSE,0.1859452449430786,0.4575921210612231,0.2999923942133,0.30156185343525,0.29742239403182785,0.29905830252962856,0.27039170281282854,0.10203767904074112
sub_001,schema_2_2,near,cb3,146.69900900787525,159.33218400543538,899.614285714126,133.71665850557767,83.91868054375921,123.26407607740144,1227.1999999998138,626.2302292286041,21.651304935035608,34.307462800040625,-12.656157865005017,4.988382929896912,90.295096455397,-0.0674459606955727,74118.4724839962,1,NA,7.408113932132,0.740675054214115,-141.297167407878,61125.7993431247,1,NA,Iteration limit exceeded.  Returning results from final iteration.,stats:nlinfit:IterationLimitExceeded,74118.472483995,90.2951288662033,-0.0674458487723731,-47.8874223849111,99.7748447698221,99.9337278531818,61125.7993431247,7.408113932132,0.740675054214115,148.70528134001,-47.1164993144372,100.232998628874,100.471323253914,all,FALSE,0.14823573363375675,0.37603181255829726,0.2277960789245405,-0.193458384753054,0.7177259309451081,FALSE,0.228987471511786,1.126741104061875,0.8977536325500891,-1.1176429773133476,2.473371552887009,FALSE,0.28924363797990815,0.6904070856842219,-0.0674458487723731,0.740675054214115,-0.1746121153791545,-0.31263701781735215,0.7018871791636957,0.7373082906885684
sub_001,schema_2_2,near_far_combined,cb3,82.77710125773761,122.16763017135976,855.4866666666543,134.0156913342727,85.93998679171376,86.1629415234859,1225.654545454393,561.7741385353453,62.03449453075231,95.00625768412893,-32.971763153376614,4.4161514682846255,91.4495533800847,0.0272837979078223,7099.44908213179,1,NA,91.4472195710139,0.0272855728786038,91.4472195249442,7099.44913823165,1,NA,Iteration limit exceeded.  Returning results from final iteration.,stats:nlinfit:IterationLimitExceeded,7099.44908212155,91.4496174177462,0.0272839441685668,-38.5048319627238,81.0096639254476,81.1685470088073,7099.44913823165,91.4472195710139,0.0272855728786038,4.60697151538625e-8,-38.5048319943376,83.0096639886752,83.2479886137147,all,FALSE,0.14823573363375675,0.37603181255829726,0.2277960789245405,-0.193458384753054,0.7177259309451081,FALSE,0.228987471511786,1.126741104061875,0.8977536325500891,-1.1176429773133476,2.473371552887009,FALSE,0.23425220812163144,0.5739572144626157,0.0272839441685668,0.0272855728786038,-0.01557457266664003,-0.06020404155107284,-0.39198280835626925,-0.895044313447344
sub_001,schema_4_2,all_pa,cb3,140.13256788499447,77.94755908967876,1160.4541666667599,492.83382857782357,195.97422948305774,75.74983463191958,696.9666666665321,196.47432402222327,116.17604840336644,190.51794570741012,-74.34189730404368,4.942588888033811,175.155997682859,0.0299000782579238,8157.60965649286,1,NA,174.894989125655,0.0294720645201553,174.894988706574,8157.82732994094,1,NA,Iteration limit exceeded.  Returning results from final iteration.,stats:nlinfit:IterationLimitExceeded,8157.60965648783,175.156037085885,0.029900134765441,-39.0605679820804,82.1211359641608,82.2800190475205,8157.82732994094,174.894989125655,0.0294720645201553,4.19080919300541e-7,-39.0606747145955,84.1213494291911,84.3596740542306,all,FALSE,0.14823573363375675,0.37603181255829726,0.2277960789245405,-0.193458384753054,0.7177259309451081,FALSE,0.228987471511786,1.126741104061875,0.8977536325500891,-1.1176429773133476,2.473371552887009,FALSE,0.28526504699506383,0.6527431989839001,0.029900134765441,0.0294720645201553,-0.011726939374963774,-0.0550629784565424,-0.3801133594857344,-0.8751619376902668
sub_001,schema_4_2,far,cb3,123.90020852669912,31.38921051832026,1105.7125000000233,538.8550227432993,176.92906325720247,29.858102446252804,595.8166666664183,75.62302339011528,81.69881120940228,190.01765617970395,-108.31884497030167,4.819476471657887,148.927961345746,0.0210041804041161,10381.3372148084,1,NA,148.8266828069,0.0207189552339606,148.826681902413,10381.4217095794,1,NA,Iteration limit exceeded.  Returning results from final iteration.,stats:nlinfit:IterationLimitExceeded,10381.3372148016,148.928010131031,0.0210042580561048,-40.0248019969632,84.0496039939265,84.2084870772862,10381.4217095794,148.8266828069,0.0207189552339606,9.04487251318642e-7,-40.0248345532446,86.0496691064892,86.2879937315288,all,FALSE,0.14823573363375675,0.37603181255829726,0.2277960789245405,-0.193458384753054,0.7177259309451081,FALSE,0.228987471511786,1.126741104061875,0.8977536325500891,-1.1176429773133476,2.473371552887009,FALSE,0.18390306599578501,0.5552974508271556,0.0210042580561048,0.0207189552339606,-0.024909135437723384,-0.07280046875435692,-0.43033459575449,-0.9612946759762568
sub_001,schema_4_2,near,cb3,77.81710872706952,59.403472980830095,1219.4625000002561,580.000989993186,134.54886098810724,72.52525538758678,800.3500000000931,246.26467671968743,119.51548710647171,98.34389061252804,21.171596493943667,4.354361313526055,140.252147785975,0.0897864762045147,7311.02549018619,1,NA,140.252204916269,0.0897865985150471,140.252204915323,7311.02549019607,1,NA,Iteration limit exceeded.  Returning results from final iteration.,stats:nlinfit:IterationLimitExceeded,7311.0254901817,140.252163374195,0.0897864263500497,-38.622297414275,81.24459482855,81.4034779119097,7311.02549019607,140.252204916269,0.0897865985150471,9.46613454289036e-10,-38.6222974142829,83.2445948285657,83.4829194536052,all,FALSE,0.14823573363375675,0.37603181255829726,0.2277960789245405,-0.193458384753054,0.7177259309451081,FALSE,0.228987471511786,1.126741104061875,0.8977536325500891,-1.1176429773133476,2.473371552887009,FALSE,0.27867367555205563,0.699998106768844,0.0897864263500497,0.0897865985150471,0.0704505370087197,0.04881019236373463,-0.14502820538549738,-0.5094117702789736
sub_001,schema_4_2,near_far_combined,cb3,100.85865862688432,51.69977067815288,1162.5875000001397,544.0047449242523,155.73896212265487,57.32311875891574,698.0833333332557,203.9000014860945,100.607149157937,144.180773396116,-43.573624238178994,4.613720117203453,144.063019168803,0.0505369579122299,5542.275786636,1,NA,144.081858549507,0.0505338836839209,144.081858544952,5542.27814643114,1,NA,Iteration limit exceeded.  Returning results from final iteration.,stats:nlinfit:IterationLimitExceeded,5542.27578662526,144.062993354136,0.0505369907834281,-37.5143840477144,79.0287680954288,79.1876511787884,5542.27814643113,144.081858549507,0.0505338836839209,4.55554527434288e-9,-37.5143857508453,81.0287715016907,81.2670961267302,all,FALSE,0.14823573363375675,0.37603181255829726,0.2277960789245405,-0.193458384753054,0.7177259309451081,FALSE,0.228987471511786,1.126741104061875,0.8977536325500891,-1.1176429773133476,2.473371552887009,FALSE,0.2371158994470213,0.5863076917894002,0.0505369907834281,0.0505338836839209,0.017816947740853156,-0.0164981378735648,-0.28195287520827667,-0.7177794682896113
sub_001,schema_4_4,all_pa,cb3,82.9788624989524,73.15336727896299,1137.1874999999611,478.49143221853694,85.69137390087461,72.6308138264595,1219.7722222223465,509.80120209106394,145.10197010471708,91.41259619793922,53.68937390677786,4.418585906675701,121.395251763708,0.0858125237375887,3998.85623435424,1,NA,144.891806869982,1.7090941114215,62.7003333747335,3077.09243699311,1,NA,Iteration limit exceeded.  Returning results from final iteration.,stats:nlinfit:IterationLimitExceeded,3998.8562343523,121.395284621399,0.0858126093354558,-36.2087967301223,76.4175934602446,76.5764765436042,3077.09243699311,144.891806869982,1.7090941114215,82.1914734952484,-35.1607037634882,76.3214075269764,76.5597321520159,all,FALSE,0.14823573363375675,0.37603181255829726,0.2277960789245405,-0.193458384753054,0.7177259309451081,FALSE,0.228987471511786,1.126741104061875,0.8977536325500891,-1.1176429773133476,2.473371552887009,FALSE,0.26860614308735753,0.6751039628741455,0.0858126093354558,1.7090941114215,0.06531496028752157,0.04260410199309134,1.2009480406646549,1.4837080366013309
sub_001,schema_4_4,far,cb3,81.96041125363676,57.24344337750919,1007.5500000000466,243.57063510533266,119.12342179266159,61.66698050502278,1031.9833333337058,353.15347041577894,134.96161699964068,176.03661308822214,-41.07499608858146,4.406236341094039,145.317878483733,0.109546683245956,7460.50533975527,1,NA,154.99098081448,0.376010539159474,84.5117330597083,6838.64768194644,1,NA,Iteration limit exceeded.  Returning results from final iteration.,stats:nlinfit:IterationLimitExceeded,7460.50533975363,145.317861998275,0.10954669679679,-38.7032558221857,81.4065116443714,81.5653947277311,6838.64768194644,154.99098081448,0.376010539159474,70.4792477547713,-38.3551232339267,82.7102464678533,82.9485710928928,all,FALSE,0.14823573363375675,0.37603181255829726,0.2277960789245405,-0.193458384753054,0.7177259309451081,FALSE,0.228987471511786,1.126741104061875,0.8977536325500891,-1.1176429773133476,2.473371552887009,FALSE,0.18381829259845864,0.5240477823367298,0.10954669679679,0.376010539159474,0.09539785712921198,0.0785098249459974,0.3662794367793963,0.2426093913819003
